"Data","Último","Abertura","Máxima","Mínima","Vol.","Var%"
"30.07.2025","5,5695","5,5744","5,6307","5,5438","","-0,09%"
"29.07.2025","5,5747","5,5893","5,6067","5,5588","","-0,25%"
"28.07.2025","5,5888","5,5642","5,6063","5,5642","","0,46%"
"25.07.2025","5,5633","5,5213","5,5740","5,5183","","0,76%"
"24.07.2025","5,5215","5,5214","5,5398","5,5115","","0,01%"
"23.07.2025","5,5212","5,5653","5,5781","5,5147","","-0,80%"
"22.07.2025","5,5657","5,5674","5,5908","5,5514","","-0,03%"
"21.07.2025","5,5671","5,5795","5,6115","5,5503","","-0,21%"
"18.07.2025","5,5790","5,5475","5,5984","5,5228","","0,61%"
"17.07.2025","5,5449","5,5689","5,6103","5,5370","","-0,43%"
"16.07.2025","5,5690","5,5571","5,5952","5,5409","","0,21%"
"15.07.2025","5,5571","5,5896","5,6049","5,5345","","-0,58%"
"14.07.2025","5,5893","5,5598","5,5937","5,5440","","0,55%"
"11.07.2025","5,5589","5,5319","5,5925","5,5294","","0,48%"
"10.07.2025","5,5321","5,5771","5,6285","5,5243","","-0,80%"
"09.07.2025","5,5766","5,4471","5,6057","5,4451","","2,37%"
"08.07.2025","5,4474","5,4884","5,4918","5,4353","","-0,74%"
"07.07.2025","5,4880","5,4211","5,4891","5,4210","","1,23%"
"04.07.2025","5,4212","5,4092","5,4266","5,4022","","0,23%"
"03.07.2025","5,4090","5,4244","5,4475","5,4026","","-0,28%"
"02.07.2025","5,4240","5,4585","5,4985","5,4151","","-0,64%"
"01.07.2025","5,4588","5,4321","5,4703","5,4183","","0,48%"
"30.06.2025","5,4326","5,4846","5,5073","5,4234","","-0,97%"
"27.06.2025","5,4856","5,4880","5,5045","5,4587","","-0,06%"
"26.06.2025","5,4890","5,5639","5,5646","5,4882","","-1,34%"
"25.06.2025","5,5637","5,5109","5,5740","5,5065","","0,95%"
"24.06.2025","5,5113","5,4957","5,5238","5,4752","","0,27%"
"23.06.2025","5,4965","5,5131","5,5437","5,4941","","-0,30%"
"20.06.2025","5,5132","5,4916","5,5277","5,4680","","0,39%"
"19.06.2025","5,4916","5,4915","5,4932","5,4870","","0,00%"
"18.06.2025","5,4917","5,4995","5,5116","5,4750","","-0,15%"
"17.06.2025","5,4997","5,4920","5,5076","5,4656","","0,14%"
"16.06.2025","5,4920","5,5437","5,5437","5,4852","","-0,94%"
"13.06.2025","5,5439","5,5375","5,5940","5,5305","","0,12%"
"12.06.2025","5,5375","5,5369","5,5596","5,5245","","0,02%"
"11.06.2025","5,5364","5,5744","5,5814","5,5218","","-0,68%"
"10.06.2025","5,5744","5,5587","5,5777","5,5384","","0,28%"
"09.06.2025","5,5588","5,5629","5,5992","5,5506","","-0,01%"
"06.06.2025","5,5594","5,5890","5,6183","5,5581","","-0,53%"
"05.06.2025","5,5893","5,6366","5,6381","5,5775","","-0,84%"
"04.06.2025","5,6368","5,6389","5,6531","5,6087","","-0,04%"
